step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,unavoidable_collision,avoidable_collision,collision_avoidability_reason,safe_stop_infeasible_first_step,safe_stop_infeasible_last_step,safe_stop_h_drift_mps,safe_stop_drift_class,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,qdot_policy_norm,task_space_goal_error_before_m,task_space_goal_error_after_m,task_space_goal_error_delta_m,task_space_requested_speed_mps,task_space_executed_speed_mps,task_space_requested_toward_goal_mps,task_space_executed_toward_goal_mps,task_space_filter_velocity_loss_mps,task_space_nominal_toward_goal_mps,task_space_recovery_active_for_command,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,hierarchical_control_enabled,hierarchical_state,hierarchical_plan_reason,hierarchical_plan_iterations,hierarchical_planning_time_s,hierarchical_planning_time_total_s,hierarchical_ik_candidate_count,hierarchical_ik_found,hierarchical_plan_found,hierarchical_direct_path,hierarchical_selected_candidate_index,hierarchical_selected_path_length_rad,hierarchical_selected_path_min_clearance_m,hierarchical_ik_candidate_errors_m,hierarchical_ik_candidate_clearances_m,hierarchical_ik_attempts_used,hierarchical_ik_fallback_used,hierarchical_ik_fallback_attempted,hierarchical_ik_target_shell_attempted,hierarchical_ik_target_shell_candidate_count,hierarchical_ik_rejection_counts,hierarchical_ik_min_goal_error_m,hierarchical_ik_goal_reachable_count,hierarchical_ik_obstacle_free_goal_reachable_count,hierarchical_selected_path_predictive_h_m,hierarchical_selected_path_filter_intervention,hierarchical_filter_intervention_ratio,hierarchical_filter_status,hierarchical_servo_stall_steps,hierarchical_servo_stall_replans,hierarchical_plan_count,hierarchical_replan_count,hierarchical_hold_steps,hierarchical_consecutive_hold_steps,hierarchical_waypoint_index,hierarchical_waypoint_count,hierarchical_path_progress,hierarchical_residual_budget,hierarchical_nominal_qdot_norm,residual_qdot_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_reason,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_infeasible_constraint_categories,safety_filter_infeasibility_diagnostic_status,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_goal_velocity_primary_mps,safety_filter_goal_velocity_secondary_used,safety_filter_goal_velocity_secondary_status,safety_filter_command_alignment_previous,safety_filter_command_sign_change,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,safety_filter_goal_velocity_audit_status,safety_filter_max_feasible_goal_velocity_mps,safety_filter_projected_goal_velocity_mps,safety_filter_goal_velocity_feasibility_gap_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
57,2.9000000000000004,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17337944998871535,0.4734186939895153,0,0,0,0,-1,nan,nan,,,192,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 192, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.008814634988084435,0.002409968990832567,0.0011704870266839862,0.001430395059287548
58,2.95,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17337944998871535,0.4734186939895153,0,0,0,0,-1,nan,nan,,,192,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 192, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.008628409006632864,0.002099050907418132,0.001445287954993546,0.0014127909671515226
59,3.0,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.17337944998871535,0.4734186939895153,0,0,0,0,-1,nan,nan,,,192,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 192, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.009325051098130643,0.0025437399744987488,0.001238080090843141,0.0013338410062715411
60,3.0500000000000003,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.15423485497012734,0.6276535489596426,0,0,0,0,-1,nan,nan,,,256,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.16321228991728276,0.0024480680003762245,0.0012593670981004834,0.0014091490302234888
61,3.1,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.15423485497012734,0.6276535489596426,0,0,0,0,-1,nan,nan,,,256,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.010180818033404648,0.0029602639842778444,0.0013368920190259814,0.001600645948201418
62,3.1500000000000004,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.15423485497012734,0.6276535489596426,0,0,0,0,-1,nan,nan,,,256,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.011841445928439498,0.0036366520216688514,0.0025634269695729017,0.0013349149376153946
63,3.2,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.15423485497012734,0.6276535489596426,0,0,0,0,-1,nan,nan,,,256,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.010274186031892896,0.003535032970830798,0.0011230650125071406,0.0015540668973699212
64,3.25,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.15423485497012734,0.6276535489596426,0,0,0,0,-1,nan,nan,,,256,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.008799005998298526,0.0022973959567025304,0.0011555739911273122,0.001486083958297968
65,3.3000000000000003,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.15423485497012734,0.6276535489596426,0,0,0,0,-1,nan,nan,,,256,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.010275171021930873,0.0038325960049405694,0.0011925359722226858,0.0015676149632781744
66,3.35,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.15423485497012734,0.6276535489596426,0,0,0,0,-1,nan,nan,,,256,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.01032082096207887,0.002441869000904262,0.002107765059918165,0.0013910930138081312
67,3.4000000000000004,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.15423485497012734,0.6276535489596426,0,0,0,0,-1,nan,nan,,,256,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.012147768982686102,0.0036362269893288612,0.0014477670192718506,0.0015941549791023135
68,3.45,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.15423485497012734,0.6276535489596426,0,0,0,0,-1,nan,nan,,,256,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.008944759028963745,0.0023414739407598972,0.0012628049589693546,0.0016638509696349502
69,3.5,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.15423485497012734,0.6276535489596426,0,0,0,0,-1,nan,nan,,,256,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.00847276404965669,0.0025119060883298516,0.001000631949864328,0.0013179859379306436
70,3.5500000000000003,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.15423485497012734,0.6276535489596426,0,0,0,0,-1,nan,nan,,,256,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.008523687021806836,0.002193619031459093,0.0011637590359896421,0.0013830410316586494
71,3.6,-1.3243102323879228,0.07420948147773743,0.7167539000511169,0.4322229027748108,0.05200399085879326,1.0,1,0,0,0,0,0,0,,0,0,,-1,-1,nan,not_applicable,,,nan,0,0.0,0.0,0.0,0.0,0.0,0.716753887030945,0.7167539000511169,-1.302017194060312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,disabled,0.0,1,PLAN_FAILED,ik_not_found,0,0.15423485497012734,0.6276535489596426,0,0,0,0,-1,nan,nan,,,256,0,0,0,0,"{'solver_error': 0, 'short_solution': 0, 'duplicate': 0, 'goal_error': 256, 'joint_limit': 0, 'workspace': 0, 'obstacle_clearance': 0, 'obstacle_contact': 0, 'self_collision': 0}",0.12934524946796375,0,0,nan,nan,0.0,passthrough,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.2558937702300218,0,0,0,0,0.2558937702300218,0.0,passthrough,osqp optimal,0.0,0,0,12,,workspace_z_lower,,,0,0,1,solved,nan,0,,0.0,0,osqp,0.0,valid,0.2558937702300218,0.9265821531163492,0|0|0|0|0|0,0.266808788|0.25589377|0.288332447|0.334693866|0.292093771|0.295093771,0.443137895|0.432222878|0.464661554|0.511022974|0.468422878|0.471422878,0.386808788|0.37589377|0.408332447|0.454693866|0.412093771|0.415093771,0|0|0|0|0|0,0|0|0|0|0|0,0|0|0|0|0|0,1.06723515|1.02357508|1.15332979|1.33877546|1.16837508|1.18037508,optimal,0.23797324429626873,0.0,0.23797324429626873,0.262144595|0.51831001|0.181577221,0|-0|0,0.008402486913837492,0.0023479959927499294,0.0010100939543917775,0.0013607960427179933
